Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | mm         | rrr        | 0x0F 0xBC MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                    | REG0=GPRv_R():cw MEM0:r:v
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | 0b11       | rrr        | 0x0F 0xBC MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                           | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | mm         | rrr        | 0x0F 0xBC not_refining_f3 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                    | REG0=GPRv_R():cw MEM0:r:v
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | 0b11       | rrr        | 0x0F 0xBC not_refining_f3 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                           | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | mm         | rrr        | 0x0F 0xBC refining_f3 TZCNT=0 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                | REG0=GPRv_R():cw MEM0:r:v
 | BSF                  | BITBYTE        | BASE           | I386           | 0f bc        | 0b11       | rrr        | 0x0F 0xBC refining_f3 TZCNT=0 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | mm         | rrr        | 0x0F 0xBD  MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                   | REG0=GPRv_R():cw MEM0:r:v
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | 0b11       | rrr        | 0x0F 0xBD  MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                          | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | mm         | rrr        | 0x0F 0xBD not_refining_f3 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                    | REG0=GPRv_R():cw MEM0:r:v
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | 0b11       | rrr        | 0x0F 0xBD not_refining_f3 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                           | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | mm         | rrr        | 0x0F 0xBD  refining_f3 LZCNT=0 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                               | REG0=GPRv_R():cw MEM0:r:v
 | BSR                  | BITBYTE        | BASE           | I386           | 0f bd        | 0b11       | rrr        | 0x0F 0xBD  refining_f3 LZCNT=0 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                      | REG0=GPRv_R():cw REG1=GPRv_B():r
 | BT                   | BITBYTE        | BASE           | I386           | 0f ba        | mm         | 0b100      | 0x0F 0xBA MOD[mm] MOD!=3 REG[0b100] RM[nnn] MODRM() UIMM8()                                          | MEM0:r:v IMM0:r:b
 | BT                   | BITBYTE        | BASE           | I386           | 0f ba        | 0b11       | 0b100      | 0x0F 0xBA MOD[0b11] MOD=3 REG[0b100] RM[nnn] UIMM8()                                                 | REG0=GPRv_B():r IMM0:r:b
 | BT                   | BITBYTE        | BASE           | I386           | 0f a3        | mm         | rrr        | 0x0F 0xA3 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()                                                    | MEM0:r:v REG0=GPRv_R():r
 | BT                   | BITBYTE        | BASE           | I386           | 0f a3        | 0b11       | rrr        | 0x0F 0xA3 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                           | REG0=GPRv_B():r REG1=GPRv_R():r
 | BTC                  | BITBYTE        | BASE           | I386           | 0f ba        | mm         | 0b111      | 0x0F 0xBA MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM() UIMM8() nolock_prefix                            | MEM0:rw:v IMM0:r:b
 | BTC                  | BITBYTE        | BASE           | I386           | 0f ba        | 0b11       | 0b111      | 0x0F 0xBA MOD[0b11] MOD=3 REG[0b111] RM[nnn] UIMM8()                                                 | REG0=GPRv_B():rw IMM0:r:b
 | BTC                  | BITBYTE        | BASE           | I386           | 0f bb        | mm         | rrr        | 0x0F 0xBB MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                      | MEM0:rw:v REG0=GPRv_R():r
 | BTC                  | BITBYTE        | BASE           | I386           | 0f bb        | 0b11       | rrr        | 0x0F 0xBB MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                           | REG0=GPRv_B():rw REG1=GPRv_R():r
 | BTC_LOCK             | BITBYTE        | BASE           | I386           | 0f ba        | mm         | 0b111      | 0x0F 0xBA MOD[mm] MOD!=3 REG[0b111] RM[nnn] MODRM() UIMM8() lock_prefix                              | MEM0:rw:v IMM0:r:b
 | BTC_LOCK             | BITBYTE        | BASE           | I386           | 0f bb        | mm         | rrr        | 0x0F 0xBB MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                                        | MEM0:rw:v REG0=GPRv_R():r
 | BTR                  | BITBYTE        | BASE           | I386           | 0f ba        | mm         | 0b110      | 0x0F 0xBA MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM() UIMM8() nolock_prefix                            | MEM0:rw:v IMM0:r:b
 | BTR                  | BITBYTE        | BASE           | I386           | 0f ba        | 0b11       | 0b110      | 0x0F 0xBA MOD[0b11] MOD=3 REG[0b110] RM[nnn] UIMM8()                                                 | REG0=GPRv_B():rw IMM0:r:b
 | BTR                  | BITBYTE        | BASE           | I386           | 0f b3        | mm         | rrr        | 0x0F 0xB3 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                      | MEM0:rw:v REG0=GPRv_R():r
 | BTR                  | BITBYTE        | BASE           | I386           | 0f b3        | 0b11       | rrr        | 0x0F 0xB3 MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                           | REG0=GPRv_B():rw REG1=GPRv_R():r
 | BTR_LOCK             | BITBYTE        | BASE           | I386           | 0f ba        | mm         | 0b110      | 0x0F 0xBA MOD[mm] MOD!=3 REG[0b110] RM[nnn] MODRM() UIMM8() lock_prefix                              | MEM0:rw:v IMM0:r:b
 | BTR_LOCK             | BITBYTE        | BASE           | I386           | 0f b3        | mm         | rrr        | 0x0F 0xB3 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                                        | MEM0:rw:v REG0=GPRv_R():r
 | BTS                  | BITBYTE        | BASE           | I386           | 0f ba        | mm         | 0b101      | 0x0F 0xBA MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM() UIMM8() nolock_prefix                            | MEM0:rw:v IMM0:r:b
 | BTS                  | BITBYTE        | BASE           | I386           | 0f ba        | 0b11       | 0b101      | 0x0F 0xBA MOD[0b11] MOD=3 REG[0b101] RM[nnn] UIMM8()                                                 | REG0=GPRv_B():rw IMM0:r:b
 | BTS                  | BITBYTE        | BASE           | I386           | 0f ab        | mm         | rrr        | 0x0F 0xAB MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() nolock_prefix                                      | MEM0:rw:v REG0=GPRv_R():r
 | BTS                  | BITBYTE        | BASE           | I386           | 0f ab        | 0b11       | rrr        | 0x0F 0xAB MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                                           | REG0=GPRv_B():rw REG1=GPRv_R():r
 | BTS_LOCK             | BITBYTE        | BASE           | I386           | 0f ba        | mm         | 0b101      | 0x0F 0xBA MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM() UIMM8() lock_prefix                              | MEM0:rw:v IMM0:r:b
 | BTS_LOCK             | BITBYTE        | BASE           | I386           | 0f ab        | mm         | rrr        | 0x0F 0xAB MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() lock_prefix                                        | MEM0:rw:v REG0=GPRv_R():r
